,Date,CNY,INR,USD
272,2022-02-01,321728.97196261695,292189.8928024505,306033.6571350387
273,2022-02-02,320226.96929239,292189.8928024505,306813.51758106414
274,2022-02-03,318357.81041388534,292189.8928024505,307100.8345874945
275,2022-02-04,318691.5887850469,292189.8928024505,306362.01942810195
276,2022-02-07,318424.56608811766,292189.8928024505,306362.01942810195
277,2022-02-08,319225.63417890534,291730.4747320064,306444.1100013678
278,2022-02-09,318724.966622163,292649.3108728946,306608.29114789946
279,2022-02-10,318925.23364486,292189.89280245046,307059.78930086154
280,2022-02-11,320694.2590120162,291730.4747320063,310056.0952250646
281,2022-02-14,321662.2162883847,291730.4747320063,309235.1894924062
282,2022-02-15,320393.85847797076,292189.89280245046,310671.77452455834
283,2022-02-16,319425.9012016023,291271.05666156224,308537.4196196466
284,2022-02-17,319759.67957276385,291271.05666156224,308003.8308934187
285,2022-02-18,320560.7476635516,291271.05666156224,308085.92146668455
286,2022-02-22,320527.3698264354,290811.63859111816,305869.4759885069
287,2022-02-23,321061.41522029386,290811.63859111816,306279.92885483615
288,2022-02-24,324232.3097463286,289892.80245022994,306320.97414146905
289,2022-02-25,322496.6622162886,290811.63859111816,309522.5064988367
290,2022-02-28,322797.062750334,290352.2205206741,308126.96675331745
291,2022-03-01,325133.5113484648,289892.80245022994,308988.91777260875
292,2022-03-02,325066.7556742325,289892.80245022994,311123.27267752046
293,2022-03-03,326401.86915887875,290352.2205206741,310425.5028047608
294,2022-03-04,329272.36315086804,290352.2205206741,311492.6802572167
295,2022-03-07,331408.544726302,290352.2205206741,313668.08044876135
296,2022-03-08,330640.8544726304,290352.2205206741,316377.06936653395
297,2022-03-09,327002.6702269695,290352.2205206741,315679.29949377436
298,2022-03-10,328805.0734312419,290352.2205206741,312477.76713640674
299,2022-03-11,330841.1214953274,290352.2205206741,313216.5822957993
300,2022-03-14,330640.8544726305,291271.0566615623,315022.5749076477
301,2022-03-15,330674.2323097466,292189.8928024505,313955.39745519176
302,2022-03-16,328371.1615487319,292649.3108728946,313052.40114926756
303,2022-03-17,327136.1815754342,291730.4747320064,312026.2689834446
304,2022-03-18,327870.49399198964,291730.4747320064,311862.087836913
305,2022-03-21,328771.6955941258,292189.8928024505,311738.95197701425
306,2022-03-22,328738.3177570096,291730.4747320064,313216.58229579934
307,2022-03-23,329172.22963951965,292649.3108728946,312354.63127650804
308,2022-03-24,329739.6528704943,292649.3108728946,314201.6691749894
309,2022-03-25,329806.4085447266,292649.3108728946,313257.62758243224
310,2022-03-28,330740.98798397894,292649.3108728946,313093.4464359006
311,2022-03-29,328437.9172229642,292649.3108728946,312067.3142700776
312,2022-03-30,326401.86915887875,292189.89280245046,310589.6839512926
313,2022-03-31,328137.5166889188,291730.4747320063,311246.4085374193
314,2022-04-01,329205.6074766357,291271.05666156224,311574.77083048265
315,2022-04-04,330407.20961281727,292189.89280245046,311903.13312354597
316,2022-04-05,332009.3457943927,292189.89280245046,309809.8235052672
317,2022-04-06,332443.2576769027,292189.89280245046,309686.68764536845
318,2022-04-07,332943.925233645,292189.89280245046,311738.95197701437
319,2022-04-08,333110.8144192258,292189.89280245046,311574.77083048265
320,2022-04-11,333544.72630173585,292189.89280245046,311615.81611711555
321,2022-04-12,334746.32843791746,292649.31087289454,311287.4538240522
322,2022-04-13,333377.8371161551,292189.89280245046,312559.85770967265
323,2022-04-14,334846.4619492659,292649.31087289454,312436.7218497739
324,2022-04-18,336381.84245660907,292649.31087289454,313298.67286906514
325,2022-04-19,336982.6435246998,292649.31087289454,313093.4464359006
326,2022-04-20,335080.10680907895,293568.14701378276,313791.21630866016
327,2022-04-21,335714.28571428586,294946.40122511506,313093.4464359006
